date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,tradestatus
2023-11-27,sh.513750,0.978,0.98,0.964,0.97,,675913,65729719.0,0.44,-1.22,0,0,0,0,1
2023-11-28,sh.513750,0.97,0.97,0.96,0.964,0.97,235728,22750231.0,0.15,-0.62,0,0,0,0,1
2023-11-29,sh.513750,0.964,0.964,0.932,0.936,0.964,171013,16156687.0,0.11,-2.9,0,0,0,0,1
2023-11-30,sh.513750,0.938,0.95,0.934,0.941,0.936,125091,11754298.0,0.08,0.53,0,0,0,0,1
2023-12-01,sh.513750,0.941,0.949,0.934,0.943,0.941,154951,14608951.0,0.1,0.21,0,0,0,0,1
2023-12-04,sh.513750,0.943,0.949,0.925,0.925,0.943,234231,21905303.0,0.15,-1.91,0,0,0,0,1
2023-12-05,sh.513750,0.917,0.924,0.889,0.89,0.925,158656,14285639.0,0.1,-3.78,0,0,0,0,1
2023-12-06,sh.513750,0.894,0.909,0.891,0.903,0.89,105138,9485498.0,0.07,1.46,0,0,0,0,1
2023-12-07,sh.513750,0.894,0.901,0.887,0.893,0.903,83883,7480730.0,0.06,-1.11,0,0,0,0,1
2023-12-08,sh.513750,0.896,0.903,0.893,0.893,0.893,50829,4553632.0,0.03,0.0,0,0,0,0,1
2023-12-11,sh.513750,0.893,0.893,0.871,0.885,0.893,121024,10625556.0,0.08,-0.9,0,0,0,0,1
2023-12-12,sh.513750,0.887,0.897,0.887,0.897,0.885,71253,6347881.0,0.05,1.36,0,0,0,0,1
2023-12-13,sh.513750,0.896,0.896,0.88,0.881,0.897,26069,2306008.0,0.02,-1.78,0,0,0,0,1
2023-12-14,sh.513750,0.885,0.898,0.88,0.881,0.881,87480,7738062.0,0.06,0.0,0,0,0,0,1
2023-12-15,sh.513750,0.887,0.91,0.887,0.899,0.881,149611,13450142.0,0.1,2.04,0,0,0,0,1
2023-12-18,sh.513750,0.897,0.901,0.894,0.894,0.899,44881,4027987.0,0.03,-0.56,0,0,0,0,1
2023-12-19,sh.513750,0.895,0.902,0.888,0.889,0.894,29528,2630294.0,0.02,-0.56,0,0,0,0,1
2023-12-20,sh.513750,0.892,0.898,0.888,0.89,0.889,83281,7429532.0,0.05,0.11,0,0,0,0,1
2023-12-21,sh.513750,0.887,0.894,0.882,0.89,0.89,56278,5003541.0,0.04,0.0,0,0,0,0,1
2023-12-22,sh.513750,0.892,0.903,0.887,0.889,0.89,194666,17410239.0,0.13,-0.11,0,0,0,0,1
2023-12-25,sh.513750,0.893,0.896,0.885,0.887,0.889,31621,2805637.0,0.02,-0.22,0,0,0,0,1
2023-12-26,sh.513750,0.886,0.892,0.88,0.882,0.887,56372,4980754.0,0.04,-0.56,0,0,0,0,1
2023-12-27,sh.513750,0.886,0.895,0.882,0.895,0.882,108343,9642093.0,0.07,1.47,0,0,0,0,1
2023-12-28,sh.513750,0.895,0.92,0.893,0.917,0.895,85700,7774239.0,0.06,2.46,0,0,0,0,1
2023-12-29,sh.513750,0.918,0.925,0.911,0.915,0.917,56111,5134211.0,0.04,-0.22,0,0,0,0,1
2024-01-02,sh.513750,0.924,0.924,0.9,0.902,0.915,60859,5509992.0,0.04,-1.42,0,0,0,0,1
