date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,tradestatus
2020-03-02,sh.515210,0.811,0.885,0.811,0.862,,1701970,172351505.0,6.07,5.51,0,0,0,0,1
2020-03-03,sh.515210,0.935,0.936,0.861,0.868,0.862,2165926,226447486.0,7.72,0.7,0,0,0,0,1
2020-03-04,sh.515210,0.857,0.88,0.851,0.878,0.868,1019375,105248878.0,3.63,1.15,0,0,0,0,1
2020-03-05,sh.515210,0.887,0.907,0.884,0.897,0.878,1083949,114928529.0,3.86,2.16,0,0,0,0,1
2020-03-06,sh.515210,0.89,0.894,0.881,0.889,0.897,543476,57234417.0,1.94,-0.89,0,0,0,0,1
2020-03-09,sh.515210,0.875,0.875,0.854,0.856,0.889,712117,73233528.0,2.54,-3.71,0,0,0,0,1
2020-03-10,sh.515210,0.845,0.88,0.836,0.875,0.856,451216,46146201.0,1.61,2.22,0,0,0,0,1
2020-03-11,sh.515210,0.873,0.891,0.871,0.876,0.875,490544,51350254.0,1.75,0.11,0,0,0,0,1
2020-03-12,sh.515210,0.865,0.883,0.865,0.877,0.876,389224,40459593.0,1.39,0.11,0,0,0,0,1
2020-03-13,sh.515210,0.84,0.869,0.837,0.858,0.877,407603,41399661.0,1.45,-2.17,0,0,0,0,1
2020-03-16,sh.515210,0.857,0.867,0.831,0.833,0.858,448725,45793155.0,1.6,-2.91,0,0,0,0,1
2020-03-17,sh.515210,0.833,0.845,0.81,0.83,0.833,268831,26634603.0,0.96,-0.36,0,0,0,0,1
2020-03-18,sh.515210,0.835,0.851,0.82,0.821,0.83,288203,28946602.0,1.03,-1.08,0,0,0,0,1
2020-03-19,sh.515210,0.817,0.835,0.804,0.825,0.821,301458,29677339.0,1.07,0.49,0,0,0,0,1
2020-03-20,sh.515210,0.828,0.838,0.817,0.831,0.825,230111,22844378.0,0.82,0.73,0,0,0,0,1
2020-03-23,sh.515210,0.82,0.82,0.799,0.801,0.831,212848,20698882.0,0.76,-3.61,0,0,0,0,1
2020-03-24,sh.515210,0.815,0.826,0.802,0.816,0.801,299747,29335489.0,1.07,1.87,0,0,0,0,1
2020-03-25,sh.515210,0.833,0.835,0.818,0.827,0.816,259816,25699706.0,0.93,1.35,0,0,0,0,1
2020-03-26,sh.515210,0.819,0.821,0.809,0.81,0.827,227483,22312174.0,0.81,-2.06,0,0,0,0,1
2020-03-27,sh.515210,0.82,0.831,0.812,0.817,0.81,277098,27314021.0,0.99,0.86,0,0,0,0,1
2020-03-30,sh.515210,0.811,0.813,0.794,0.805,0.817,246461,23758782.0,0.88,-1.47,0,0,0,0,1
2020-03-31,sh.515210,0.81,0.814,0.798,0.802,0.805,224219,21708158.0,0.8,-0.37,0,0,0,0,1
2020-04-01,sh.515210,0.795,0.807,0.793,0.793,0.802,264410,25566881.0,0.94,-1.12,0,0,0,0,1
2020-04-02,sh.515210,0.794,0.812,0.791,0.812,0.793,281544,27197137.0,1.0,2.4,0,0,0,0,1
2020-04-03,sh.515210,0.811,0.812,0.803,0.806,0.812,229550,22373224.0,0.82,-0.74,0,0,0,0,1
2020-04-07,sh.515210,0.814,0.831,0.814,0.83,0.806,238968,23664631.0,0.85,2.98,0,0,0,0,1
2020-04-08,sh.515210,0.825,0.839,0.825,0.834,0.83,301716,30143644.0,1.08,0.48,0,0,0,0,1
