date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,tradestatus
2021-02-23,sh.516080,0.97,1.009,0.964,0.98,,362753,35313406.0,2.49,1.14,0,0,0,0,1
2021-02-24,sh.516080,0.976,0.979,0.933,0.943,0.98,291403,27781090.0,2.0,-3.78,0,0,0,0,1
2021-02-25,sh.516080,0.951,0.955,0.935,0.938,0.943,153795,14502054.0,1.05,-0.53,0,0,0,0,1
2021-02-26,sh.516080,0.929,0.945,0.913,0.932,0.938,144754,13463026.0,0.99,-0.64,0,0,0,0,1
2021-03-01,sh.516080,0.943,0.95,0.928,0.95,0.932,80875,7627163.0,0.55,1.93,0,0,0,0,1
2021-03-02,sh.516080,0.956,0.956,0.919,0.929,0.95,135510,12618826.0,0.93,-2.21,0,0,0,0,1
2021-03-03,sh.516080,0.929,0.945,0.922,0.944,0.929,130752,12210317.0,0.9,1.61,0,0,0,0,1
2021-03-04,sh.516080,0.939,0.939,0.906,0.915,0.944,211303,19366277.0,1.45,-3.07,0,0,0,0,1
2021-03-05,sh.516080,0.916,0.916,0.891,0.911,0.915,142440,12918043.0,0.98,-0.44,0,0,0,0,1
2021-03-08,sh.516080,0.921,0.924,0.86,0.862,0.911,213553,18892788.0,1.46,-5.38,0,0,0,0,1
2021-03-09,sh.516080,0.862,0.866,0.825,0.837,0.862,205852,17473312.0,1.41,-2.9,0,0,0,0,1
2021-03-10,sh.516080,0.839,0.862,0.839,0.85,0.837,152899,13046254.0,1.05,1.55,0,0,0,0,1
2021-03-11,sh.516080,0.851,0.885,0.851,0.877,0.85,168425,14732279.0,1.15,3.18,0,0,0,0,1
2021-03-12,sh.516080,0.871,0.88,0.86,0.879,0.877,104277,9081535.0,0.71,0.23,0,0,0,0,1
2021-03-15,sh.516080,0.877,0.877,0.833,0.845,0.879,126775,10744059.0,0.87,-3.87,0,0,0,0,1
2021-03-16,sh.516080,0.845,0.86,0.838,0.856,0.845,111320,9491304.0,0.76,1.3,0,0,0,0,1
2021-03-17,sh.516080,0.857,0.865,0.841,0.862,0.856,164670,14087299.0,1.13,0.7,0,0,0,0,1
2021-03-18,sh.516080,0.862,0.887,0.862,0.884,0.862,141820,12485301.0,0.97,2.55,0,0,0,0,1
2021-03-19,sh.516080,0.869,0.886,0.865,0.871,0.884,128382,11183879.0,0.88,-1.47,0,0,0,0,1
2021-03-22,sh.516080,0.871,0.891,0.866,0.879,0.871,122755,10823233.0,0.84,0.92,0,0,0,0,1
2021-03-23,sh.516080,0.879,0.89,0.869,0.877,0.879,153564,13451544.0,1.05,-0.23,0,0,0,0,1
2021-03-24,sh.516080,0.877,0.887,0.867,0.872,0.877,98675,8623010.0,0.68,-0.57,0,0,0,0,1
2021-03-25,sh.516080,0.872,0.883,0.859,0.878,0.872,110286,9619079.0,0.76,0.69,0,0,0,0,1
2021-03-26,sh.516080,0.877,0.911,0.877,0.907,0.878,146981,13251816.0,1.01,3.3,0,0,0,0,1
2021-03-29,sh.516080,0.91,0.92,0.901,0.909,0.907,129417,11802455.0,0.89,0.22,0,0,0,0,1
