date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,tradestatus
2020-11-16,sh.588000,1.556,1.62,1.451,1.465,,14453638,2119240688.0,2.71,1.81,0,0,0,0,1
2020-11-17,sh.588000,1.46,1.46,1.43,1.436,1.465,10806365,1553721904.0,2.03,-1.98,0,0,0,0,1
2020-11-18,sh.588000,1.435,1.445,1.422,1.424,1.436,8631881,1234788624.0,1.62,-0.84,0,0,0,0,1
2020-11-19,sh.588000,1.424,1.44,1.412,1.438,1.424,6854018,980394624.0,1.29,0.98,0,0,0,0,1
2020-11-20,sh.588000,1.436,1.444,1.431,1.435,1.438,6010034,862623920.0,1.13,-0.21,0,0,0,0,1
2020-11-23,sh.588000,1.434,1.434,1.416,1.422,1.435,7975061,1133175088.0,1.5,-0.91,0,0,0,0,1
2020-11-24,sh.588000,1.419,1.424,1.414,1.416,1.422,5648067,800897376.0,1.06,-0.42,0,0,0,0,1
2020-11-25,sh.588000,1.417,1.42,1.391,1.393,1.416,8186122,1148131360.0,1.54,-1.62,0,0,0,0,1
2020-11-26,sh.588000,1.391,1.401,1.384,1.39,1.393,5191679,722125392.0,0.97,-0.22,0,0,0,0,1
2020-11-27,sh.588000,1.388,1.4,1.385,1.392,1.39,5206327,724061072.0,0.98,0.14,0,0,0,0,1
2020-11-30,sh.588000,1.397,1.401,1.385,1.391,1.392,6350302,885500688.0,1.19,-0.07,0,0,0,0,1
2020-12-01,sh.588000,1.388,1.411,1.386,1.409,1.391,5867503,822774320.0,1.1,1.29,0,0,0,0,1
2020-12-02,sh.588000,1.411,1.42,1.408,1.414,1.409,5237908,741100064.0,0.98,0.35,0,0,0,0,1
2020-12-03,sh.588000,1.412,1.422,1.404,1.417,1.414,4438234,627615120.0,0.83,0.21,0,0,0,0,1
2020-12-04,sh.588000,1.415,1.415,1.406,1.411,1.417,3713602,523662400.0,0.7,-0.42,0,0,0,0,1
2020-12-07,sh.588000,1.415,1.422,1.411,1.412,1.411,4614045,654078816.0,0.87,0.07,0,0,0,0,1
2020-12-08,sh.588000,1.413,1.414,1.405,1.408,1.412,4151961,584974832.0,0.78,-0.28,0,0,0,0,1
2020-12-09,sh.588000,1.408,1.411,1.377,1.38,1.408,7826427,1089123056.0,1.47,-1.99,0,0,0,0,1
2020-12-10,sh.588000,1.378,1.389,1.371,1.383,1.38,4367842,603425328.0,0.82,0.22,0,0,0,0,1
2020-12-11,sh.588000,1.382,1.397,1.381,1.396,1.383,5200344,723082304.0,0.98,0.94,0,0,0,0,1
2020-12-14,sh.588000,1.398,1.417,1.391,1.413,1.396,5090725,716152192.0,0.96,1.22,0,0,0,0,1
2020-12-15,sh.588000,1.41,1.418,1.4,1.406,1.413,4810611,677765424.0,0.9,-0.5,0,0,0,0,1
2020-12-16,sh.588000,1.4,1.401,1.384,1.388,1.406,4393257,610392832.0,0.82,-1.28,0,0,0,0,1
2020-12-17,sh.588000,1.386,1.406,1.383,1.406,1.388,4265409,595395184.0,0.8,1.3,0,0,0,0,1
2020-12-18,sh.588000,1.42,1.42,1.4,1.403,1.406,4074836,574006688.0,0.77,-0.21,0,0,0,0,1
2020-12-21,sh.588000,1.401,1.431,1.398,1.43,1.403,7512594,1069955024.0,1.41,1.92,0,0,0,0,1
2020-12-22,sh.588000,1.419,1.432,1.399,1.403,1.43,5868260,830906496.0,1.1,-1.89,0,0,0,0,1
2020-12-23,sh.588000,1.403,1.419,1.397,1.417,1.403,4774504,672840832.0,0.9,1.0,0,0,0,0,1
2020-12-24,sh.588000,1.416,1.425,1.39,1.393,1.417,5628034,790005504.0,1.06,-1.69,0,0,0,0,1
2020-12-25,sh.588000,1.395,1.4,1.383,1.394,1.393,4608822,642137520.0,0.87,0.07,0,0,0,0,1
2020-12-28,sh.588000,1.387,1.391,1.377,1.38,1.394,6002051,829445696.0,1.13,-1.0,0,0,0,0,1
2020-12-29,sh.588000,1.38,1.393,1.379,1.381,1.38,4828225,668274560.0,0.91,0.07,0,0,0,0,1
2020-12-30,sh.588000,1.381,1.407,1.377,1.403,1.381,6128410,855521840.0,1.15,1.59,0,0,0,0,1
2020-12-31,sh.588000,1.408,1.435,1.406,1.434,1.403,8803393,1254346800.0,1.65,2.21,0,0,0,0,1
2021-01-04,sh.588000,1.436,1.468,1.429,1.464,1.434,8810634,1281133008.0,1.65,2.09,0,0,0,0,1
2021-01-05,sh.588000,1.46,1.469,1.452,1.468,1.464,6438159,941124080.0,1.21,0.27,0,0,0,0,1
2021-01-06,sh.588000,1.467,1.475,1.45,1.458,1.468,4880388,712273904.0,0.92,-0.68,0,0,0,0,1
2021-01-07,sh.588000,1.457,1.458,1.415,1.429,1.458,8709016,1245168688.0,1.64,-1.99,0,0,0,0,1
2021-01-08,sh.588000,1.425,1.428,1.41,1.423,1.429,6619108,938479856.0,1.24,-0.42,0,0,0,0,1
2021-01-11,sh.588000,1.422,1.45,1.421,1.437,1.423,7078493,1017183712.0,1.33,0.98,0,0,0,0,1
2021-01-12,sh.588000,1.429,1.451,1.42,1.45,1.437,5577177,804060912.0,1.05,0.9,0,0,0,0,1
2021-01-13,sh.588000,1.452,1.46,1.434,1.454,1.45,6536602,946447536.0,1.23,0.28,0,0,0,0,1
2021-01-14,sh.588000,1.45,1.524,1.444,1.498,1.454,14856703,2214887200.0,2.79,3.03,0,0,0,0,1
2021-01-15,sh.588000,1.5,1.512,1.476,1.492,1.498,9191916,1375169296.0,1.73,-0.4,0,0,0,0,1
2021-01-18,sh.588000,1.486,1.543,1.48,1.526,1.492,8914732,1351225344.0,1.67,2.28,0,0,0,0,1
2021-01-19,sh.588000,1.524,1.534,1.486,1.492,1.526,9563059,1442207408.0,1.8,-2.23,0,0,0,0,1
2021-01-20,sh.588000,1.49,1.525,1.487,1.524,1.492,8642182,1307083648.0,1.62,2.14,0,0,0,0,1
2021-01-21,sh.588000,1.529,1.539,1.512,1.526,1.524,6457123,985780912.0,1.21,0.13,0,0,0,0,1
2021-01-22,sh.588000,1.524,1.536,1.501,1.536,1.526,6378548,967383760.0,1.2,0.66,0,0,0,0,1
2021-01-25,sh.588000,1.526,1.557,1.514,1.542,1.536,7292584,1121347536.0,1.37,0.39,0,0,0,0,1
2021-01-26,sh.588000,1.539,1.557,1.516,1.524,1.542,6737301,1032874272.0,1.26,-1.17,0,0,0,0,1
2021-01-27,sh.588000,1.525,1.53,1.485,1.503,1.524,6254354,939428256.0,1.17,-1.38,0,0,0,0,1
2021-01-28,sh.588000,1.486,1.506,1.462,1.469,1.503,7316559,1086206528.0,1.37,-2.26,0,0,0,0,1
2021-01-29,sh.588000,1.475,1.484,1.445,1.467,1.469,7791088,1140998864.0,1.46,-0.14,0,0,0,0,1
2021-02-01,sh.588000,1.47,1.481,1.456,1.467,1.467,6059941,887787376.0,1.14,0.0,0,0,0,0,1
2021-02-02,sh.588000,1.464,1.479,1.458,1.478,1.467,5397185,794266976.0,1.01,0.75,0,0,0,0,1
2021-02-03,sh.588000,1.475,1.485,1.454,1.456,1.478,5404084,794062400.0,1.01,-1.49,0,0,0,0,1
2021-02-04,sh.588000,1.447,1.453,1.41,1.435,1.456,8205920,1171295312.0,1.54,-1.44,0,0,0,0,1
2021-02-05,sh.588000,1.434,1.447,1.413,1.414,1.435,5856997,838125040.0,1.1,-1.46,0,0,0,0,1
2021-02-08,sh.588000,1.413,1.435,1.409,1.425,1.414,4334000,616648416.0,0.81,0.78,0,0,0,0,1
2021-02-09,sh.588000,1.426,1.476,1.424,1.472,1.425,6036093,875572880.0,1.13,3.3,0,0,0,0,1
2021-02-10,sh.588000,1.47,1.482,1.451,1.478,1.472,5868850,862459824.0,1.1,0.41,0,0,0,0,1
2021-02-18,sh.588000,1.496,1.505,1.472,1.476,1.478,6061201,899793712.0,1.14,-0.14,0,0,0,0,1
2021-02-19,sh.588000,1.473,1.473,1.447,1.472,1.476,5762211,840598960.0,1.08,-0.27,0,0,0,0,1
2021-02-22,sh.588000,1.472,1.479,1.431,1.433,1.472,8543291,1243087008.0,1.6,-2.65,0,0,0,0,1
2021-02-23,sh.588000,1.423,1.444,1.419,1.433,1.433,5589926,800165776.0,1.05,0.0,0,0,0,0,1
2021-02-24,sh.588000,1.435,1.44,1.401,1.409,1.433,10200782,1446579088.0,1.92,-1.67,0,0,0,0,1
2021-02-25,sh.588000,1.413,1.416,1.392,1.393,1.409,8803171,1232730432.0,1.65,-1.14,0,0,0,0,1
2021-02-26,sh.588000,1.376,1.386,1.366,1.368,1.393,11269968,1546010848.0,2.12,-1.79,0,0,0,0,1
2021-03-01,sh.588000,1.375,1.401,1.375,1.4,1.368,7325784,1016775472.0,1.38,2.34,0,0,0,0,1
2021-03-02,sh.588000,1.412,1.414,1.385,1.392,1.4,5900048,825491696.0,1.11,-0.57,0,0,0,0,1
2021-03-03,sh.588000,1.391,1.401,1.38,1.4,1.392,4357868,606334496.0,0.82,0.57,0,0,0,0,1
2021-03-04,sh.588000,1.391,1.403,1.364,1.366,1.4,10212836,1404543728.0,1.92,-2.43,0,0,0,0,1
2021-03-05,sh.588000,1.356,1.378,1.351,1.37,1.366,5958330,812492000.0,1.12,0.29,0,0,0,0,1
2021-03-08,sh.588000,1.375,1.378,1.315,1.316,1.37,12354978,1658452928.0,2.32,-3.94,0,0,0,0,1
2021-03-09,sh.588000,1.316,1.319,1.265,1.269,1.316,10110176,1302723568.0,1.9,-3.57,0,0,0,0,1
2021-03-10,sh.588000,1.286,1.297,1.267,1.272,1.269,6021954,770929808.0,1.13,0.24,0,0,0,0,1
2021-03-11,sh.588000,1.278,1.312,1.266,1.304,1.272,7183805,928782432.0,1.35,2.52,0,0,0,0,1
2021-03-12,sh.588000,1.306,1.308,1.29,1.298,1.304,4032898,523461072.0,0.76,-0.46,0,0,0,0,1
2021-03-15,sh.588000,1.292,1.293,1.25,1.26,1.298,8017128,1015466864.0,1.51,-2.93,0,0,0,0,1
2021-03-16,sh.588000,1.262,1.268,1.248,1.258,1.26,4930306,620269264.0,0.93,-0.16,0,0,0,0,1
2021-03-17,sh.588000,1.256,1.273,1.249,1.271,1.258,4616878,584085712.0,0.87,1.03,0,0,0,0,1
2021-03-18,sh.588000,1.271,1.286,1.271,1.277,1.271,3974036,508677488.0,0.75,0.47,0,0,0,0,1
2021-03-19,sh.588000,1.26,1.277,1.256,1.266,1.277,3613571,457860672.0,0.68,-0.86,0,0,0,0,1
2021-03-22,sh.588000,1.268,1.282,1.263,1.28,1.266,3661329,467457664.0,0.69,1.11,0,0,0,0,1
2021-03-23,sh.588000,1.281,1.292,1.269,1.273,1.28,3967390,508153792.0,0.74,-0.55,0,0,0,0,1
2021-03-24,sh.588000,1.267,1.279,1.257,1.258,1.273,4330412,547717664.0,0.81,-1.18,0,0,0,0,1
2021-03-25,sh.588000,1.253,1.267,1.25,1.259,1.258,3813079,479927584.0,0.72,0.08,0,0,0,0,1
2021-03-26,sh.588000,1.262,1.294,1.26,1.293,1.259,6270685,803016032.0,1.18,2.7,0,0,0,0,1
2021-03-29,sh.588000,1.292,1.299,1.284,1.286,1.293,3980307,514038480.0,0.75,-0.54,0,0,0,0,1
2021-03-30,sh.588000,1.284,1.295,1.281,1.286,1.286,2960596,381288800.0,0.56,0.0,0,0,0,0,1
2021-03-31,sh.588000,1.284,1.289,1.273,1.284,1.286,2848916,364330832.0,0.53,-0.16,0,0,0,0,1
2021-04-01,sh.588000,1.286,1.305,1.285,1.303,1.284,4622744,600499552.0,0.87,1.48,0,0,0,0,1
2021-04-02,sh.588000,1.306,1.34,1.306,1.338,1.303,7605463,1011916400.0,1.43,2.69,0,0,0,0,1
2021-04-06,sh.588000,1.344,1.347,1.329,1.335,1.338,3255845,434756160.0,0.61,-0.22,0,0,0,0,1
2021-04-07,sh.588000,1.333,1.34,1.321,1.339,1.335,3217144,427555536.0,0.6,0.3,0,0,0,0,1
2021-04-08,sh.588000,1.332,1.342,1.326,1.33,1.339,2689911,358739776.0,0.51,-0.67,0,0,0,0,1
2021-04-09,sh.588000,1.328,1.333,1.306,1.309,1.33,3704365,487558416.0,0.7,-1.58,0,0,0,0,1
2021-04-12,sh.588000,1.307,1.317,1.278,1.282,1.309,4811901,623213360.0,0.9,-2.06,0,0,0,0,1
2021-04-13,sh.588000,1.279,1.295,1.277,1.28,1.282,3290647,422983728.0,0.62,-0.16,0,0,0,0,1
2021-04-14,sh.588000,1.284,1.293,1.282,1.29,1.28,2524013,325229536.0,0.47,0.78,0,0,0,0,1
2021-04-15,sh.588000,1.287,1.303,1.282,1.3,1.29,2919478,376988288.0,0.55,0.78,0,0,0,0,1
2021-04-16,sh.588000,1.301,1.317,1.294,1.315,1.3,4021354,525451536.0,0.75,1.15,0,0,0,0,1
2021-04-19,sh.588000,1.314,1.338,1.308,1.336,1.315,5091773,675549344.0,0.96,1.6,0,0,0,0,1
2021-04-20,sh.588000,1.335,1.342,1.329,1.33,1.336,4281826,571551216.0,0.8,-0.45,0,0,0,0,1
2021-04-21,sh.588000,1.323,1.33,1.313,1.325,1.33,3024804,400202576.0,0.57,-0.38,0,0,0,0,1
2021-04-22,sh.588000,1.326,1.347,1.326,1.345,1.325,4708500,630691488.0,0.88,1.51,0,0,0,0,1
2021-04-23,sh.588000,1.342,1.356,1.338,1.352,1.345,3697386,498777360.0,0.69,0.52,0,0,0,0,1
2021-04-26,sh.588000,1.351,1.375,1.35,1.352,1.352,5751978,783638304.0,1.08,0.0,0,0,0,0,1
2021-04-27,sh.588000,1.353,1.355,1.335,1.352,1.352,3294566,443353600.0,0.62,0.0,0,0,0,0,1
2021-04-28,sh.588000,1.348,1.366,1.343,1.361,1.352,3290446,446670368.0,0.62,0.67,0,0,0,0,1
2021-04-29,sh.588000,1.363,1.376,1.352,1.363,1.361,2982797,406835856.0,0.56,0.15,0,0,0,0,1
2021-04-30,sh.588000,1.36,1.367,1.352,1.364,1.363,2936070,399301584.0,0.55,0.07,0,0,0,0,1
2021-05-06,sh.588000,1.359,1.362,1.338,1.348,1.364,2892107,390484400.0,0.54,-1.17,0,0,0,0,1
2021-05-07,sh.588000,1.345,1.353,1.303,1.304,1.348,4939703,653776224.0,0.93,-3.26,0,0,0,0,1
2021-05-10,sh.588000,1.302,1.304,1.288,1.294,1.304,3960080,512312480.0,0.74,-0.77,0,0,0,0,1
2021-05-11,sh.588000,1.288,1.299,1.278,1.294,1.294,3741707,481925872.0,0.7,0.0,0,0,0,0,1
2021-05-12,sh.588000,1.29,1.311,1.288,1.31,1.294,3106558,404026608.0,0.58,1.24,0,0,0,0,1
2021-05-13,sh.588000,1.305,1.325,1.298,1.313,1.31,3390204,444188448.0,0.64,0.23,0,0,0,0,1
2021-05-14,sh.588000,1.316,1.342,1.31,1.341,1.313,4276535,568294048.0,0.8,2.13,0,0,0,0,1
2021-05-17,sh.588000,1.341,1.375,1.34,1.367,1.341,7466442,1020223600.0,1.4,1.94,0,0,0,0,1
2021-05-18,sh.588000,1.366,1.37,1.355,1.359,1.367,2866343,389909424.0,0.54,-0.59,0,0,0,0,1
2021-05-19,sh.588000,1.356,1.373,1.354,1.365,1.359,3112581,425053344.0,0.58,0.44,0,0,0,0,1
2021-05-20,sh.588000,1.362,1.378,1.361,1.369,1.365,3083021,423171456.0,0.58,0.29,0,0,0,0,1
2021-05-21,sh.588000,1.37,1.379,1.352,1.354,1.369,3035377,413597440.0,0.57,-1.1,0,0,0,0,1
2021-05-24,sh.588000,1.35,1.372,1.342,1.371,1.354,3909303,531710864.0,0.73,1.26,0,0,0,0,1
2021-05-25,sh.588000,1.37,1.41,1.368,1.408,1.371,7127270,995164944.0,1.34,2.7,0,0,0,0,1
2021-05-26,sh.588000,1.408,1.414,1.399,1.404,1.408,3703020,520955792.0,0.7,-0.28,0,0,0,0,1
2021-05-27,sh.588000,1.4,1.44,1.399,1.437,1.404,6709343,958486272.0,1.26,2.35,0,0,0,0,1
2021-05-28,sh.588000,1.434,1.456,1.42,1.43,1.437,5782168,832443616.0,1.09,-0.49,0,0,0,0,1
2021-05-31,sh.588000,1.44,1.485,1.44,1.484,1.43,8168922,1197392672.0,1.53,3.78,0,0,0,0,1
2021-06-01,sh.588000,1.485,1.51,1.475,1.502,1.484,8493076,1273081888.0,1.59,1.21,0,0,0,0,1
2021-06-02,sh.588000,1.5,1.508,1.465,1.469,1.502,6957525,1031724832.0,1.31,-2.2,0,0,0,0,1
2021-06-03,sh.588000,1.47,1.483,1.453,1.456,1.469,5791214,848609936.0,1.09,-0.88,0,0,0,0,1
2021-06-04,sh.588000,1.45,1.489,1.447,1.475,1.456,6040776,889561952.0,1.13,1.3,0,0,0,0,1
2021-06-07,sh.588000,1.484,1.494,1.468,1.475,1.475,4096515,606902976.0,0.77,0.0,0,0,0,0,1
2021-06-08,sh.588000,1.483,1.491,1.454,1.465,1.475,4708950,692839376.0,0.88,-0.68,0,0,0,0,1
2021-06-09,sh.588000,1.464,1.487,1.46,1.472,1.465,4496323,663567328.0,0.84,0.48,0,0,0,0,1
2021-06-10,sh.588000,1.473,1.502,1.47,1.498,1.472,5282000,786195104.0,0.99,1.77,0,0,0,0,1
2021-06-11,sh.588000,1.5,1.503,1.478,1.493,1.498,5547692,827999456.0,1.04,-0.33,0,0,0,0,1
2021-06-15,sh.588000,1.491,1.519,1.482,1.499,1.493,6446833,967841392.0,1.21,0.4,0,0,0,0,1
2021-06-16,sh.588000,1.497,1.5,1.45,1.453,1.499,6529799,959662464.0,1.23,-3.07,0,0,0,0,1
2021-06-17,sh.588000,1.455,1.53,1.455,1.528,1.453,10219373,1530463040.0,1.92,5.16,0,0,0,0,1
2021-06-18,sh.588000,1.528,1.553,1.521,1.55,1.528,7548203,1163001392.0,1.42,1.44,0,0,0,0,1
2021-06-21,sh.588000,1.54,1.585,1.533,1.584,1.55,7549406,1183330720.0,1.42,2.19,0,0,0,0,1
2021-06-22,sh.588000,1.584,1.588,1.56,1.58,1.584,5827105,918041440.0,1.09,-0.25,0,0,0,0,1
2021-06-23,sh.588000,1.58,1.608,1.572,1.588,1.58,7173735,1141193856.0,1.35,0.51,0,0,0,0,1
2021-06-24,sh.588000,1.581,1.591,1.551,1.561,1.588,6375204,997342608.0,1.2,-1.7,0,0,0,0,1
2021-06-25,sh.588000,1.56,1.597,1.556,1.595,1.561,5634829,887101216.0,1.06,2.18,0,0,0,0,1
2021-06-28,sh.588000,1.592,1.635,1.588,1.618,1.595,6268756,1014072048.0,1.18,1.44,0,0,0,0,1
2021-06-29,sh.588000,1.618,1.633,1.602,1.621,1.618,4967312,803214816.0,0.93,0.19,0,0,0,0,1
2021-06-30,sh.588000,1.621,1.664,1.615,1.648,1.621,6430298,1058815632.0,1.21,1.67,0,0,0,0,1
2021-07-01,sh.588000,1.652,1.653,1.625,1.633,1.648,6575087,1077879920.0,1.23,-0.91,0,0,0,0,1
2021-07-02,sh.588000,1.62,1.62,1.58,1.594,1.633,7366071,1178440544.0,1.38,-2.39,0,0,0,0,1
2021-07-05,sh.588000,1.6,1.641,1.598,1.64,1.594,5780121,939601712.0,1.09,2.89,0,0,0,0,1
2021-07-06,sh.588000,1.641,1.643,1.567,1.591,1.64,8655105,1385653664.0,1.62,-2.99,0,0,0,0,1
2021-07-07,sh.588000,1.572,1.629,1.572,1.624,1.591,6987802,1121772848.0,1.31,2.07,0,0,0,0,1
2021-07-08,sh.588000,1.629,1.674,1.626,1.67,1.624,7564261,1254932288.0,1.42,2.83,0,0,0,0,1
2021-07-09,sh.588000,1.654,1.66,1.615,1.644,1.67,7536048,1232916000.0,1.41,-1.56,0,0,0,0,1
2021-07-12,sh.588000,1.651,1.671,1.636,1.66,1.644,6214087,1026853056.0,1.17,0.97,0,0,0,0,1
2021-07-13,sh.588000,1.657,1.679,1.633,1.654,1.66,5904107,974929392.0,1.11,-0.36,0,0,0,0,1
2021-07-14,sh.588000,1.641,1.643,1.615,1.616,1.654,5030604,819191328.0,0.94,-2.3,0,0,0,0,1
2021-07-15,sh.588000,1.61,1.626,1.592,1.617,1.616,5211959,838668048.0,0.98,0.06,0,0,0,0,1
2021-07-16,sh.588000,1.625,1.629,1.581,1.584,1.617,6400916,1026721904.0,1.2,-2.04,0,0,0,0,1
2021-07-19,sh.588000,1.567,1.589,1.557,1.573,1.584,4973267,781626496.0,0.93,-0.69,0,0,0,0,1
2021-07-20,sh.588000,1.562,1.585,1.56,1.577,1.573,4024561,633062640.0,0.76,0.25,0,0,0,0,1
2021-07-21,sh.588000,1.582,1.635,1.581,1.623,1.577,7864707,1272365472.0,1.48,2.92,0,0,0,0,1
2021-07-22,sh.588000,1.624,1.644,1.605,1.638,1.623,5125296,833679296.0,0.96,0.92,0,0,0,0,1
2021-07-23,sh.588000,1.646,1.65,1.606,1.627,1.638,4947321,804825680.0,0.93,-0.67,0,0,0,0,1
2021-07-26,sh.588000,1.619,1.627,1.555,1.616,1.627,6258521,999915376.0,1.17,-0.68,0,0,0,0,1
2021-07-27,sh.588000,1.61,1.687,1.6,1.605,1.616,9393695,1545472736.0,1.76,-0.68,0,0,0,0,1
2021-07-28,sh.588000,1.588,1.615,1.534,1.574,1.605,7702880,1215302480.0,1.45,-1.93,0,0,0,0,1
2021-07-29,sh.588000,1.607,1.66,1.601,1.651,1.574,8233173,1342423328.0,1.55,4.89,0,0,0,0,1
2021-07-30,sh.588000,1.647,1.668,1.63,1.651,1.651,6641149,1092718480.0,1.25,0.0,0,0,0,0,1
2021-08-02,sh.588000,1.65,1.68,1.63,1.657,1.651,6058864,1001764128.0,1.14,0.36,0,0,0,0,1
2021-08-03,sh.588000,1.643,1.651,1.615,1.621,1.657,5199482,848216608.0,0.98,-2.17,0,0,0,0,1
2021-08-04,sh.588000,1.62,1.667,1.619,1.665,1.621,6228591,1028387872.0,1.17,2.71,0,0,0,0,1
2021-08-05,sh.588000,1.661,1.676,1.64,1.664,1.665,4615096,766356240.0,0.87,-0.06,0,0,0,0,1
2021-08-06,sh.588000,1.685,1.696,1.634,1.65,1.664,4685006,778964688.0,0.88,-0.84,0,0,0,0,1
2021-08-09,sh.588000,1.626,1.641,1.608,1.631,1.65,4099119,664975440.0,0.77,-1.15,0,0,0,0,1
2021-08-10,sh.588000,1.629,1.651,1.626,1.647,1.631,3476767,570009040.0,0.65,0.98,0,0,0,0,1
2021-08-11,sh.588000,1.644,1.651,1.622,1.639,1.647,3229778,528348032.0,0.61,-0.49,0,0,0,0,1
2021-08-12,sh.588000,1.632,1.664,1.629,1.646,1.639,3024849,498794864.0,0.57,0.43,0,0,0,0,1
2021-08-13,sh.588000,1.633,1.647,1.608,1.611,1.646,3663401,594535680.0,0.69,-2.13,0,0,0,0,1
2021-08-16,sh.588000,1.601,1.625,1.595,1.607,1.611,3125789,502537776.0,0.59,-0.25,0,0,0,0,1
2021-08-17,sh.588000,1.603,1.614,1.565,1.566,1.607,4420180,700688608.0,0.83,-2.55,0,0,0,0,1
2021-08-18,sh.588000,1.57,1.587,1.559,1.565,1.566,3949087,620089632.0,0.74,-0.06,0,0,0,0,1
2021-08-19,sh.588000,1.567,1.609,1.565,1.603,1.565,4377772,695966992.0,0.82,2.43,0,0,0,0,1
2021-08-20,sh.588000,1.591,1.614,1.572,1.59,1.603,5253469,833313840.0,0.99,-0.81,0,0,0,0,1
2021-08-23,sh.588000,1.591,1.626,1.582,1.621,1.59,4389347,706829264.0,0.82,1.95,0,0,0,0,1
2021-08-24,sh.588000,1.624,1.644,1.611,1.636,1.621,4795931,783181328.0,0.9,0.93,0,0,0,0,1
2021-08-25,sh.588000,1.634,1.634,1.59,1.601,1.636,5401693,866545024.0,1.01,-2.14,0,0,0,0,1
2021-08-26,sh.588000,1.597,1.611,1.55,1.555,1.601,6325145,994398176.0,1.19,-2.87,0,0,0,0,1
2021-08-27,sh.588000,1.55,1.564,1.532,1.538,1.555,4560846,704898448.0,0.86,-1.09,0,0,0,0,1
2021-08-30,sh.588000,1.548,1.564,1.518,1.527,1.538,4494337,692069824.0,0.84,-0.72,0,0,0,0,1
2021-08-31,sh.588000,1.524,1.524,1.479,1.491,1.527,6029565,899868976.0,1.13,-2.36,0,0,0,0,1
2021-09-01,sh.588000,1.492,1.494,1.455,1.48,1.491,6440938,950153728.0,1.21,-0.74,0,0,0,0,1
2021-09-02,sh.588000,1.481,1.481,1.449,1.456,1.48,6352729,927672144.0,1.19,-1.62,0,0,0,0,1
2021-09-03,sh.588000,1.45,1.47,1.437,1.457,1.456,7528122,1095055920.0,1.41,0.07,0,0,0,0,1
2021-09-06,sh.588000,1.456,1.495,1.446,1.493,1.457,7266460,1073486928.0,1.36,2.47,0,0,0,0,1
2021-09-07,sh.588000,1.483,1.496,1.479,1.494,1.493,4002843,596263552.0,0.75,0.07,0,0,0,0,1
2021-09-08,sh.588000,1.493,1.495,1.461,1.467,1.494,5824348,858093312.0,1.09,-1.81,0,0,0,0,1
2021-09-09,sh.588000,1.461,1.477,1.445,1.454,1.467,4905034,714324032.0,0.92,-0.89,0,0,0,0,1
2021-09-10,sh.588000,1.452,1.484,1.445,1.482,1.454,5849379,858262624.0,1.1,1.93,0,0,0,0,1
2021-09-13,sh.588000,1.475,1.477,1.438,1.438,1.482,6870376,996545104.0,1.29,-2.97,0,0,0,0,1
2021-09-14,sh.588000,1.438,1.466,1.436,1.452,1.438,5011230,729567280.0,0.94,0.97,0,0,0,0,1
2021-09-15,sh.588000,1.449,1.45,1.432,1.437,1.452,4661006,670214960.0,0.88,-1.03,0,0,0,0,1
2021-09-16,sh.588000,1.433,1.435,1.401,1.402,1.437,8836722,1248518640.0,1.66,-2.44,0,0,0,0,1
2021-09-17,sh.588000,1.403,1.415,1.385,1.413,1.402,8675344,1214376944.0,1.63,0.78,0,0,0,0,1
2021-09-22,sh.588000,1.395,1.413,1.39,1.41,1.413,4560356,641086512.0,0.86,-0.21,0,0,0,0,1
2021-09-23,sh.588000,1.413,1.428,1.405,1.419,1.41,4864179,689247648.0,0.91,0.64,0,0,0,0,1
