date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2006-10-27,sh.601398,3.4000,3.4400,3.2600,3.2800,3.1200,2582539562,8725310440.0000,3,37.807389,1,5.128208,28.722511,6.304379,6.343880,3.296056,0
2006-10-30,sh.601398,3.2700,3.3200,3.2500,3.2900,3.2800,351921002,1153127879.0000,3,5.151989,1,0.304878,28.810080,6.323599,6.363221,3.306105,0
2006-10-31,sh.601398,3.2800,3.3300,3.2800,3.3000,3.2900,230126187,761050767.0000,3,3.368959,1,0.303951,28.897648,6.342820,6.382562,3.316154,0
2006-11-01,sh.601398,3.3000,3.3100,3.2800,3.3000,3.3000,132892401,437264838.0000,3,1.945494,1,0.000000,28.897648,6.342820,6.382562,3.316154,0
2006-11-02,sh.601398,3.3000,3.3000,3.2500,3.2800,3.3000,175155427,573399417.0000,3,2.564208,1,-0.606060,28.722511,6.304379,6.343880,3.296056,0
2006-11-03,sh.601398,3.2700,3.3700,3.2700,3.3600,3.2800,400016130,1331710304.0000,3,5.856083,1,2.439022,29.423060,6.458144,6.498609,3.376448,0
2006-11-06,sh.601398,3.3300,3.3800,3.3200,3.3800,3.3600,209993801,706248019.0000,3,3.074229,1,0.595245,29.598198,6.496585,6.537291,3.396546,0
2006-11-07,sh.601398,3.3800,3.4300,3.3700,3.4000,3.3800,296792452,1010942170.0000,3,4.344928,1,0.591715,29.773335,6.535027,6.575973,3.416644,0
2006-11-08,sh.601398,3.4000,3.4000,3.3500,3.3600,3.4000,151822699,512250494.0000,3,2.222626,1,-1.176476,29.423060,6.458144,6.498609,3.376448,0
2006-11-09,sh.601398,3.3600,3.4000,3.3500,3.4000,3.3600,177948204,601893735.0000,3,2.605093,1,1.190482,30.159047,6.619688,6.661165,3.460906,0
2006-11-10,sh.601398,3.4000,3.5200,3.4000,3.4600,3.4000,759690218,2640424952.0000,3,11.121573,1,1.764704,30.691266,6.736506,6.778715,3.521981,0
2006-11-13,sh.601398,3.4500,3.5900,3.4400,3.5200,3.4600,463375150,1636941479.0000,3,6.783635,1,1.734102,31.223484,6.853324,6.896265,3.583056,0
2006-11-14,sh.601398,3.5800,3.6200,3.5300,3.6000,3.5200,431911750,1548647107.0000,3,6.323022,1,2.272725,31.933109,7.009081,7.052998,3.664489,0
