date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2018-01-31,sh.601838,8.3900,10.0700,8.3900,10.0700,6.9900,199080,1999528.0000,3,0.055112,1,44.062950,9.305544,3.767907,3.607576,1.521949,0
2018-02-01,sh.601838,11.0800,11.0800,11.0800,11.0800,10.0700,137803,1526857.0000,3,0.038149,1,10.029790,10.238870,4.145820,3.969408,1.674597,0
2018-02-02,sh.601838,12.1900,12.1900,12.1900,12.1900,11.0800,429196,5231899.0000,3,0.118817,1,10.018050,11.264606,4.561150,4.367065,1.842359,0
2018-02-05,sh.601838,13.4100,13.4100,13.4100,13.4100,12.1900,1715598,23006169.0000,3,0.474939,1,10.008210,12.391990,5.017639,4.804130,2.026746,0
2018-02-06,sh.601838,14.7500,14.7500,14.7500,14.7500,13.4100,5059394,74626062.0000,3,1.400621,1,9.992544,13.630265,5.519029,5.284185,2.229270,0
2018-02-07,sh.601838,16.2300,16.2300,16.2200,16.2300,14.7500,50002289,811537077.0000,3,13.842417,1,10.033900,14.997912,6.072803,5.814395,2.452953,0
2018-02-08,sh.601838,16.3300,16.6000,14.6100,14.7000,16.2300,182702481,2774883193.0000,3,50.578563,1,-9.426986,13.584061,5.500321,5.266273,2.221713,0
2018-02-09,sh.601838,13.8700,14.1300,13.2400,13.4400,14.7000,121384419,1659674061.0000,3,33.603536,1,-8.571430,12.419713,5.028865,4.814878,2.031281,0
2018-02-12,sh.601838,13.7500,14.5400,13.2100,14.0100,13.4400,104620358,1443553487.0000,3,28.962646,1,4.241076,12.946442,5.242142,5.019080,2.117429,0
2018-02-13,sh.601838,13.8800,14.1700,12.8400,12.8800,14.0100,104302879,1412151641.0000,3,28.874757,1,-8.065668,11.902225,4.819328,4.614258,1.946644,0
2018-02-14,sh.601838,12.5100,12.8500,12.2100,12.2300,12.8800,68537278,851441946.0000,3,18.973563,1,-5.046588,11.301569,4.576117,4.381395,1.848405,0
