date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2007-09-25,sh.601939,8.5500,9.0500,8.4300,8.5300,6.4500,2736229727,23766599052.0000,3,43.432218,1,32.248060,34.776132,11.120230,-138.804254,6.121968,0
2007-09-26,sh.601939,8.6100,8.7700,8.5000,8.5600,8.5300,482580813,4164199706.0000,3,7.660013,1,0.351708,34.898440,11.159339,-139.292428,6.143499,0
2007-09-27,sh.601939,8.6400,9.3000,8.6300,9.3000,8.5600,645804977,5787534423.0000,3,10.250873,1,8.644856,37.915361,12.124049,-151.334063,6.674596,0
2007-09-28,sh.601939,9.4500,9.5000,9.2000,9.3500,9.3000,514626020,4799733438.0000,3,8.168667,1,0.537636,38.119207,12.189232,-152.147687,6.710481,0
2007-10-08,sh.601939,9.5500,9.9900,9.3000,9.8200,9.3500,535205655,5188771690.0000,3,8.495328,1,5.026731,40.035359,12.801953,-159.795753,7.047799,0
2007-10-09,sh.601939,9.7500,10.1200,9.5100,9.8500,9.8200,320626386,3179614677.0000,3,5.089308,1,0.305506,40.157667,12.841062,-160.283927,7.069330,0
2007-10-10,sh.601939,9.8700,10.1600,9.8000,9.9500,9.8500,314792876,3152836011.0000,3,4.996712,1,1.015223,40.565359,12.971428,-161.911175,7.141100,0
2007-10-11,sh.601939,10.0000,10.2600,9.8100,10.2400,9.9500,320170781,3214321915.0000,3,5.082076,1,2.914572,41.747666,13.349490,-166.630194,7.349232,0
2007-10-12,sh.601939,10.2900,10.2900,9.5800,10.0600,10.2400,325928023,3242246844.0000,3,5.173461,1,-1.757806,41.013820,13.114831,-163.701148,7.220047,0
2007-10-15,sh.601939,9.9800,10.0500,9.6900,9.9500,10.0600,294362441,2897081640.0000,3,4.672420,1,-1.093445,40.565359,12.971428,-161.911175,7.141100,0
2007-10-16,sh.601939,9.9500,10.5300,9.9500,10.1300,9.9500,353672941,3626902351.0000,3,5.613856,1,1.809048,41.299205,13.206088,-164.840221,7.270286,0
2007-10-17,sh.601939,10.0000,10.0700,9.8100,9.9100,10.1300,188688306,1869329583.0000,3,2.995052,1,-2.171770,40.402282,12.919282,-161.260276,7.112392,0
2007-10-18,sh.601939,9.8900,9.9000,9.5300,9.5900,9.9100,198657733,1916542334.0000,3,3.153297,1,-3.229059,39.097668,12.502110,-156.053082,6.882728,0
2007-10-19,sh.601939,9.6400,9.8000,9.5000,9.6000,9.5900,100265156,965433389.0000,3,1.591510,1,0.104278,39.138437,12.515147,-156.215807,6.889905,0
2007-10-22,sh.601939,9.4500,9.5700,9.2900,9.3200,9.6000,117968508,1108344886.0000,3,1.872516,1,-2.916674,37.996899,12.150122,-151.659513,6.688950,0
2007-10-23,sh.601939,9.3200,9.6700,9.2500,9.6600,9.3200,145878070,1379063872.0000,3,2.315525,1,3.648070,39.383052,12.593367,-157.192156,6.932967,0
2007-10-24,sh.601939,9.7200,9.9600,9.6300,9.6500,9.6600,179478232,1763478356.0000,3,2.848861,1,-0.103522,39.342283,12.580330,-157.029431,6.925790,0
2007-10-25,sh.601939,9.6100,9.9000,9.3700,9.7300,9.6500,202285514,1956783137.0000,3,3.210881,1,0.829015,39.668437,12.684623,-158.331230,6.983206,0
2007-10-26,sh.601939,9.7000,9.9800,9.6400,9.9500,9.7300,240664461,2375801492.0000,3,3.820071,1,2.261051,40.565359,12.971428,-161.911175,7.141100,0
2007-10-29,sh.601939,10.1500,10.6000,10.0700,10.3700,9.9500,285771788,2969062478.0000,3,4.536060,1,4.221107,42.277666,13.518966,-168.745617,6.217671,0
2007-10-30,sh.601939,10.5000,10.9200,10.2800,10.8600,10.3700,262621709,2810330588.0000,3,4.168599,1,4.725167,44.275357,14.157760,-176.719132,6.511466,0
2007-10-31,sh.601939,11.0000,11.0600,10.8000,10.9700,10.8600,286857379,3133229316.0000,3,4.553292,1,1.012897,44.723818,14.301163,-178.509105,6.577420,0
2007-11-01,sh.601939,10.9600,11.5300,10.8300,11.3200,10.9700,261103686,2945068625.0000,3,4.144503,1,3.190515,46.150740,14.757444,-184.204473,6.787274,0
2007-11-02,sh.601939,11.0900,11.5800,10.9700,11.2300,11.3200,235687779,2660084829.0000,3,3.741076,1,-0.795054,45.783817,14.640115,-182.739949,6.733312,0
2007-11-05,sh.601939,11.2300,11.2500,10.7000,10.8000,11.2300,252113269,2759240271.0000,3,4.001798,1,-3.829024,44.030742,14.079540,-175.742783,6.475491,0
